camera_id,x,y,z,accuracy,radius,theta,phi
12,0.0744568007119816,0.4783630261921757,0.875,1.0,0.9999999999999999,0.5053605102841571,1.4163861642897566
17,-0.2263780397108227,0.5178107599661147,0.825,1.0,1.0,0.6005941268660511,1.9829406300056507
9,-0.2937818094019275,0.3076804323718514,0.905,1.0,0.9999999999999999,0.43941660545627304,2.3330905462961375
7,0.2508199246075502,0.2854196304038366,0.925,1.0,1.0,0.3897607327974747,0.8498316985738483
28,0.5274059083958755,0.4589313759039811,0.7150000000000001,1.0,1.0,0.774172220278855,0.7160863317087972
30,-0.4227572838843483,0.5815937404432138,0.6950000000000001,1.0,0.9999999999999999,0.8023764259945193,2.1993451794311007
20,0.2932485776207448,0.5310181463221477,0.795,1.0,1.0,0.6517887472931206,1.0662362479992842
41,0.4832423373605845,0.6513461778365474,0.585,1.0,1.0,0.9459162690335879,0.932490881134219
4,-0.0576875190087779,0.2909418329333407,0.955,0.9871084976725912,1.0,0.30113654555337216,1.7665360805802288
22,-0.5243836430365365,0.3526992981503226,0.775,0.9866820998409384,1.0,0.6840812317953292,2.549495095721559
15,0.4693831442579387,0.2562312703136192,0.845,0.9777615037147206,0.9999999999999999,0.5642311597275818,0.4996817822833758
25,-0.0413277681181523,0.6657830093824655,0.745,0.9767882481336226,0.9999999999999999,0.7302614856969647,1.6327907137151922
43,-0.6171186416704142,0.5476674009860938,0.565,0.9756176415719272,0.9999999999999999,0.9703630732143732,2.4157497288565226
14,-0.5035220099089656,0.1242601526525523,0.855,0.9691003339950066,1.0,0.5452454872186283,2.899645012012046
33,0.2122411469353392,0.7160507632476706,0.665,0.9681562094662538,0.9999999999999999,0.8433025087934815,1.2826407974247058
3,-0.1361545433970866,-0.224135986205542,0.965,0.9517399929542888,1.0,0.2653529495976502,-2.116685996870702
36,0.721363411153993,0.2764232787741926,0.635,0.9492317559289876,0.9999999999999999,0.8827878067596948,0.36593641541836747
0,0.036192163800806,-0.0930866654221518,0.995,0.920295574785967,1.0,0.10004171361154007,-1.1999816148643279
31,0.7139311177155941,-0.1451804365517695,0.685,0.9136435886372076,1.0,0.8161926279463589,-0.2006180502975407
46,0.0605669633383741,0.8426782558912791,0.535,0.9007216776001176,1.0,1.0062885796606011,1.4990453468501275
35,-0.7108835625767573,0.2803917981292916,0.645,0.9000318537004365,1.0,0.869773043567577,2.7658996451470093
10,0.4450691162047644,-0.0298074118418524,0.895,0.8995032105635246,0.9999999999999999,0.4623651240194271,-0.06687268343251815
51,-0.4152706665479463,0.7696267104933562,0.485,0.8950087646826498,1.0,1.064433159115624,2.0655998125660355
2,0.2133487962016218,0.0621070942752828,0.975,0.8892932131449217,1.0,0.22407528530181936,0.2832772328579506
56,-0.7860924812634521,0.4391282396989167,0.435,0.8728114948565927,1.0,1.1207580500240297,2.632154278281944
64,-0.6102334383091954,0.7082302950095664,0.3549999999999999,0.8686173079419847,1.0,1.2078822595240082,2.282004361991457
54,0.3646521496878663,0.8124061851857223,0.4549999999999998,0.8631114203862608,0.9999999999999999,1.098424112666042,1.1488954305596406
19,-0.5622917434517565,-0.1892167943021553,0.8049999999999999,0.859145415759349,0.9999999999999999,0.6351208585830427,-2.816985829451661
1,-0.1547437673795711,0.0763502878657127,0.985,0.8582249251035982,1.0,0.17342232109560457,2.683240462586607
23,0.6368434976776907,0.0959445645445591,0.765,0.8580498798928975,0.9999999999999999,0.699754996368892,0.14953186599291737
18,0.5298005482856456,-0.2347048764645281,0.815,0.8520456762489095,1.0,0.6180671318552149,-0.4170225997229908
6,-0.3525736770010519,-0.0382988548909467,0.935,0.8483128718619692,1.0,0.36253726228797395,-3.033390378877083
21,0.1454916484121819,-0.6021687307078524,0.785,0.8474726294043782,1.0,0.6681001997570769,-1.3337269817293576
13,0.2780058192088503,-0.4177173260543738,0.865,0.8446780317800213,1.0,0.5256459551343636,-0.9835770654388991
5,0.2636198886645208,-0.1935963695437125,0.945,0.8368127722427402,1.0,0.33320172402055054,-0.6334271491484267
49,0.7208578155712303,0.474698862153549,0.505,0.8360806956766624,1.0,1.0414143614732476,0.5823409648437889
62,0.6466981387080233,0.6641961437644593,0.3749999999999999,0.820915157249215,0.9999999999999999,1.1863995522992576,0.798745514269154
38,-0.2167003262692152,0.7581661879791367,0.615,0.8145065759313312,1.0,0.9084103602931075,1.849195263140614
40,-0.7891309866728363,-0.1524706065861745,0.595,0.8077839279628372,1.0,0.9335306780945928,-2.950731196316669
8,0.0083366977564435,-0.4033676976042054,0.915,0.803287136968959,1.0,0.4152884061050901,-1.5501315311547934
37,-0.3488147315046773,-0.6983575610568843,0.625,0.77842188488034,1.0,0.8956647938578649,-2.034026814310331
27,-0.6885241909678856,0.0175908627423001,0.725,0.7772253960715205,0.9999999999999999,0.7597619325073149,3.116049561437439
75,0.5114161035149035,0.8236677540523446,0.245,0.7770682167606933,1.0,1.3232766342610807,1.0151500636945756
59,-0.1317984081530906,0.9047674726736762,0.4049999999999999,0.7632633848475245,1.0,1.1538174961752028,1.715449896275549
70,0.8609575651079133,0.4143996514036337,0.2950000000000001,0.7630836854550889,0.9999999999999999,1.2713408081247888,0.44859559797878085
45,-0.6092192124494792,-0.576044226759054,0.5449999999999999,0.7614636489845512,1.0,0.9944072120586995,-2.384176730600761
24,-0.4121290609984819,-0.5100241534285505,0.755,0.7527600712027613,1.0,0.7151422072910205,-2.2504313637357525
42,0.084384531711973,-0.8137900532740315,0.575,0.7524000524898582,1.0,0.9581921787462742,-1.4674723485944225
48,-0.846338488114677,0.1359638317191839,0.515,0.7506618992717221,1.0,1.0297886775455745,2.9823041945724307
44,0.8317466950794509,0.0131314593405004,0.5549999999999999,0.7362441715188106,1.0,0.9824333606582936,0.015786499127880757
57,0.8809020772335512,0.2082943357982038,0.425,0.735132030666676,1.0,1.131834441185136,0.23219104855324554
39,0.6784819286774496,-0.4166980591005052,0.605,0.73188489755011,1.0,0.9210304593705237,-0.5507679665880275
16,-0.178036608885238,-0.5206514821803976,0.835,0.7288050483413272,1.0,0.5826635415393151,-1.9002814474452658
69,-0.9117554154204852,0.2750946427166809,0.305,0.7221598576282101,0.9999999999999999,1.2608578975166511,2.8485588277073655
32,-0.6324486940434512,-0.3799784854471804,0.675,0.7204254613771123,1.0,0.8298316245918765,-2.600581280026239
77,-0.7796725089061894,0.5843678455013828,0.2249999999999999,0.71722599349352,1.0,1.3438532906163767,2.498408911416879
29,-0.0800267590307556,-0.7046777404168754,0.7050000000000001,0.7137390042842536,1.0,0.7883731809514675,-1.6838768980198442
52,0.8312516602277,-0.2887830974428602,0.4749999999999998,0.7101652176635225,1.0,1.0758322950780022,-0.3343634171625491
58,-0.5114506110446985,-0.7524581532962511,0.4150000000000001,0.7047207864767967,1.0,1.1428535238213908,-2.167772181175339
80,-0.0106985883206493,0.9807448904827112,0.1949999999999999,0.7008694457713305,0.9999999999999999,1.3745388766312432,1.5817045294104837
11,-0.3635609122405682,-0.290858149431653,0.885,0.6954040970426703,1.0,0.48430231574591986,-2.466835913161174
82,-0.9816791320629378,0.0753729505337092,0.1749999999999999,0.6832191228577722,0.9999999999999999,1.3948905586311804,3.0649633771327873
67,0.1929758658961575,0.9258160266390016,0.3249999999999999,0.6791588884458355,1.0,1.2397845987056022,1.3652999799850623
26,0.488124309443499,-0.4706481260244294,0.735,0.6776632654379368,0.9999999999999999,0.7451296458090734,-0.7671725160134492
63,-0.0283181732127312,-0.9305767464674226,0.3649999999999999,0.6744540195939208,0.9999999999999999,1.1971635237196157,-1.6012177154594307
85,-0.5401305344837406,0.8289957814840246,0.1450000000000001,0.6685176975122483,1.0,1.42528335429049,2.148258995126392
47,0.5284414607382487,-0.6671766052349453,0.525,0.6684142928860742,1.0,1.0180812136981134,-0.9009178828785142
61,-0.9214115905414144,-0.052684730386904,0.385,0.6672317712534171,1.0,1.1755885042411451,-3.084476563181734
96,0.6356781505395801,0.7711603522786807,0.0349999999999999,0.6632395458514424,1.0,1.535789177019548,0.8814046968296241
90,-0.9061866376621156,0.4120688992421404,0.0949999999999998,0.6571529460829477,0.9999999999999998,1.4756528474890067,2.7148134608423002
50,-0.2122943004869606,-0.8425592738678699,0.4949999999999999,0.6466993901902747,1.0,1.0529614951625175,-1.8176222648848523
60,0.7117269358092483,-0.5808784458417942,0.3949999999999999,0.6435928669780581,1.0,1.164728475737487,-0.6845133334530358
34,0.3310341813183721,-0.6792579560070497,0.655,0.6428433161941206,1.0,0.8566137063185778,-1.117322432303936
83,0.7761308731041651,0.6086015673776782,0.1650000000000001,0.6409434761838274,1.0,1.4050383154853803,0.6650001474042024
78,0.9718854164361024,0.0959882144787769,0.2149999999999999,0.6304099912906233,0.9999999999999999,1.3541044969529858,0.09844568168829415
65,0.932080255949528,-0.1104599315094047,0.3449999999999998,0.6253637692947324,0.9999999999999999,1.218557541697832,-0.1179588677371274
84,-0.1614552040680401,-0.9746318366846772,0.155,0.6195726615307479,0.9999999999999999,1.415168873450711,-1.734963082324496
71,-0.3560459657901024,-0.889947341276209,0.2849999999999999,0.6160581260787589,1.0,1.2817898986213954,-1.9513676317499176
72,-0.339643946545412,0.8994537173057084,0.2750000000000001,0.6048465959006024,1.0,1.292206624403246,1.9318544457009705
53,-0.8128986308849299,-0.350671949128251,0.4649999999999999,0.6041640080420827,1.0,1.0871617155767266,-2.7343266468912475
55,0.2814731902967677,-0.8501457775841504,0.4449999999999999,0.6032135238014436,1.0,1.109622065960143,-1.2510677991689443
93,-0.2248836431214143,0.9722151752860272,0.0649999999999998,0.6001913897040991,1.0,1.5057504687202858,1.798109078836019
73,0.8605176524727745,-0.4350682357777285,0.2650000000000001,0.5996943406078387,0.9999999999999999,1.3025924044751211,-0.46810878402761424
92,-0.4905545060378116,-0.8681769846097043,0.0749999999999998,0.5787035915853213,1.0,1.4957258357181802,-2.085112998614983
68,0.4848107009619184,-0.8159249868908375,0.3149999999999999,0.5779702573605741,0.9999999999999999,1.250339672745299,-1.0346632497435224
91,0.94740162277657,0.3085533424876831,0.0849999999999999,0.5708528601901864,0.9999999999999999,1.4856936384110233,0.31485023111371574
88,0.3305643389631055,0.936750883536218,0.115,0.5685578878194704,1.0,1.455541327127319,1.2315546131201107
79,-0.6532324914983223,-0.7288774328039621,0.2049999999999999,0.5633905327038962,1.0,1.3643326195339043,-2.301517548040404
81,0.6716952105998923,-0.7173566365882219,0.1849999999999999,0.5631399214617984,1.0,1.3847244644639733,-0.818258700318101
95,-0.9892441968026008,-0.1391794492458469,0.045,0.5557131582406895,1.0,1.5257811254385825,-3.001817380621378
66,-0.7648363846862601,-0.5502729365142822,0.3349999999999999,0.5449344962114416,1.0,1.229191096693089,-2.517922097465826
76,0.1797344135356263,-0.9552332388432704,0.2349999999999999,0.543186366712751,0.9999999999999999,1.3335777587004614,-1.3848131660340093
86,0.9596234397949192,-0.246774905118343,0.135,0.5354590604088857,1.0,1.435382864328341,-0.2517042346021925
87,-0.8754474233259834,-0.4668691561796479,0.1250000000000001,0.5335258968577001,1.0,1.445468495626831,-2.651667464330891
94,0.823039585704098,-0.5653148152702412,0.0549999999999999,0.5258369464473617,1.0,1.5157685598137958,-0.6018541508926794
89,0.3894516879693365,-0.9150422846720444,0.1049999999999999,0.5176640084549213,1.0,1.4656024257545082,-1.1684086166085876
98,-0.7129896520692853,0.7010140911865608,0.015,0.503837660605318,1.0,1.5557957642379359,2.3646635445518136
74,-0.9309958510002714,-0.2611928892988484,0.255,0.4978765147861401,1.0,1.3129486235878178,-2.8680720137563127
99,0.9993645385147648,-0.0352919135096248,0.005,0.493684572307754,0.9999999999999998,1.565796305961329,-0.03529968517677092
97,0.0521977200629844,-0.9983237941771328,0.0249999999999999,0.4372334357921981,0.9999999999999999,1.5457937218955355,-1.5185585328990743
